
2025/02/05 (04:27:03) | ===> btop++ v.1.4.0
2025/02/05 (04:27:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (05:03:42) | ===> btop++ v.1.4.0
2025/02/05 (05:03:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (12:54:51) | ===> btop++ v.1.4.0
2025/02/05 (12:54:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (12:58:16) | ===> btop++ v.1.4.0
2025/02/05 (12:58:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/05 (13:01:57) | WARNING: Failed to join _runner thread on exit!

2025/02/06 (18:00:59) | ===> btop++ v.1.4.0
2025/02/06 (18:00:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:07:07) | ===> btop++ v.1.4.0
2025/02/06 (18:07:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:52:53) | ===> btop++ v.1.4.0
2025/02/06 (18:52:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:31:14) | ===> btop++ v.1.4.0
2025/02/06 (20:31:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (23:03:22) | ===> btop++ v.1.4.0
2025/02/07 (23:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (13:20:37) | ===> btop++ v.1.4.0
2025/02/08 (13:20:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (01:24:39) | ===> btop++ v.1.4.0
2025/02/09 (01:24:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (14:55:46) | ===> btop++ v.1.4.0
2025/02/09 (14:55:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (06:19:56) | ===> btop++ v.1.4.0
2025/02/10 (06:19:56) | WARNING: Intel GPU: Failed to initialize PMU
